Site,Tree,Latitude,Longitude,Elevation
S172,T34,28.290214017,-113.1115610059,718.285889
S172,T01,28.2914100308,-113.111680029,664.8725585938
S172,T02,28.2912999764,-113.1117500179,652.8559570313
S172,T03,28.2912900019,-113.1126100011,663.6708984375
S172,T04,28.2912699692,-113.1126499828,653.3366699219
S172,T05A,28.2910999842,-113.1124599651,676.8889160156
S172,T05B,28.2910800353,-113.1124599651,676.6484375
S172,T06,28.290899992,-113.1126700155,674.7258300781
S172,T07,28.290899992,-113.1128900405,678.8115234375
S172,T08,28.290390037,-113.1126199756,698.0378417969
S172,T09,28.2898199838,-113.1125499867,719.6672363281
S172,T10,28.2903799787,-113.1121599767,702.6040039063
S172,T11,28.290390037,-113.1121500023,703.0847167969
S172,T12,28.2904000115,-113.1118800212,697.7973632813
S172,T13,28.2905900292,-113.1116100401,679.0517578125
S172,T14,28.2909200247,-113.1113600079,666.07421875
S172,T15A,28.2907399815,-113.1109600235,664.1516113281
S172,T15B,28.2906900253,-113.1109600235,667.9968261719
S172,T16,28.2907099742,-113.1111099757,664.6323242188
S172,T17,28.2906200364,-113.1114399713,669.4387207031
S172,T18,28.2909399737,-113.1116900034,662.4692382813
S172,T19,28.2904900331,-113.1112099718,682.8969726563
S172,T20,28.2902000193,-113.1109000091,681.6953125
S172,T21,28.290000027,-113.1104700174,679.7727050781
S172,T22,28.2896199916,-113.1100800075,680.7341308594
S172,T23,28.2895800099,-113.1101199891,680.2534179688
S172,T24,28.2895599771,-113.1101199891,678.3308105469
S172,T25,28.2916800119,-113.1134300027,650.4528808594
S172,T26,28.2913999725,-113.1129900366,657.9028320313
S172,T27,28.2913200092,-113.1130900327,655.0190429688
S172,T28,28.2909999881,-113.1133399811,665.3532714844
S172,T29,28.2907200325,-113.1134399772,666.314453125
S172,T30,28.2906699926,-113.1140999682,666.07421875
S172,T31,28.2908989862,-113.1122570392,685.774353
S172,T32,28.2909859903,-113.1121899839,682.494751
S172,T33,28.2908659615,-113.1114699785,682.804443
S172,T35,28.2907790411,-113.1109829899,675.220093
S172,T46,28.2905610278,-113.1113050226,679.704407
S172,T47,28.2904160209,-113.1110659707,681.241394
S172,T48,28.2902359776,-113.1113859918,701.399353
S172,T49,28.289748989,-113.1123899762,704.282227
S172,T50,28.2897299621,-113.1119169854,707.230042
S172,T51,28.2895520143,-113.1117080245,692.077332
S172,T53,28.2892599888,-113.1114269793,680.647522
S172,T54,28.289390998,-113.1127320416,686.137207
S172,T55,28.289629966,-113.1127189659,692.404724
S172,T56,28.2902130112,-113.1131280027,694.606506
S172,T57,28.2904509734,-113.112968998,692.37384
S172,T58,28.2898209896,-113.1096689589,666.284485
S172,T60,28.28967196,-113.109724,681.750977
S172,T81,28.28952997,-113.11137,701.293335
S172,T82,28.28932101,-113.111781,690.918762
S172,T83,28.28954003,-113.112343,698.236145
S172,T84,28.29030798,-113.112894,707.226868
S172,T90,28.29039599,-113.113319,697.726379
S172,T91,28.29062498,-113.113426,685.512634
S172,T92N,28.29009499,-113.113937,699.308228
S172,T92S,28.29004101,-113.11388,696.937988
S172,T201,28.29053001,-113.11295,696.8361816
