--,--,--,--,--,--,0,0,0,0,1,1,1,1,1,2,2,2,2
--,--,--,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8
--,--,0,1,2,3,4,4,5,6,7,8,9,10,11,11,12,13,14
--,0,1,2,3,5,6,7,8,9,11,12,13,14,15,17,18,19,20
--,1,2,3,5,6,7,10,11,13,14,16,17,19,21,22,24,25,27
--,1,3,5,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34
0,2,4,6,7,10,13,15,17,19,22,24,26,29,31,34,36,38,41
0,2,4,7,10,12,15,17,20,23,26,28,31,34,37,39,42,45,48
0,3,5,8,11,14,17,20,23,26,29,33,36,39,42,45,48,52,55
0,3,6,9,13,16,19,23,26,30,33,37,40,44,47,51,55,58,62
1,4,7,11,14,18,22,26,29,33,37,41,45,49,53,57,61,65,69
1,4,8,12,16,20,24,28,33,37,41,45,50,54,59,63,67,72,76
1,5,9,13,17,22,26,31,36,40,45,50,55,59,64,67,74,78,83
1,5,10,14,19,24,29,34,39,44,49,54,59,64,70,75,80,85,90
1,6,11,15,21,26,31,37,42,47,53,59,64,70,75,81,86,92,98
2,6,11,17,22,28,34,39,45,51,57,63,67,75,81,87,93,99,105
2,7,12,18,24,30,36,42,48,55,61,67,74,80,86,93,99,106,112
2,7,13,19,25,32,38,45,52,58,65,72,78,85,92,99,106,113,119
2,8,13,20,27,34,41,48,55,62,69,76,83,90,98,105,112,119,127
3,8,15,22,29,36,43,50,58,65,73,80,88,96,103,111,119,126,134
3,9,16,23,30,38,45,53,61,69,77,85,93,101,109,117,125,133,141
3,9,17,24,32,40,48,56,64,73,81,89,98,106,115,123,132,140,149
3,10,17,25,33,42,50,59,67,76,85,94,102,111,120,129,138,147,156
3,10,18,27,35,44,53,62,71,80,89,98,107,117,126,135,145,154,163
4,11,19,28,37,46,55,64,74,83,93,102,112,122,132,141,151,161,171
4,11,20,29,38,48,57,67,77,87,97,107,117,127,137,147,158,168,178
4,12,21,30,40,50,60,70,80,90,101,111,122,132,143,154,164,175,186
4,13,22,32,42,52,62,73,83,94,105,116,127,138,149,160,171,182,193
5,13,23,33,43,54,65,76,87,98,109,120,131,143,154,166,177,189,200
5,14,24,34,45,56,67,78,90,101,113,125,136,148,160,172,184,196,208
5,14,24,35,46,58,69,81,93,105,117,129,141,153,166,178,190,203,215
5,15,25,37,48,60,72,84,96,108,121,133,146,159,171,184,197,210,222
5,15,26,38,50,62,74,87,99,112,125,138,151,164,177,190,203,217,230
6,16,27,39,51,64,77,89,103,116,129,142,156,169,183,196,210,224,237
6,16,28,40,53,66,79,92,106,119,133,147,161,174,188,202,216,231,245
6,17,29,41,55,68,81,95,109,123,137,151,165,180,194,209,223,238,252
6,17,30,43,56,70,84,98,112,127,141,156,170,185,200,215,230,245,259
7,18,31,44,58,72,86,101,115,130,145,160,175,190,206,221,236,252,267
7,18,31,45,59,74,89,103,119,134,149,165,180,196,211,227,243,258,274
